"date","REGION","price"
2003-08-13,"SA1",23.3627290560699
2003-08-13,"SNOWY1",19.1596451565714
2003-08-13,"VIC1",20.2528514457766
2003-08-14,"NSW1",18.4912580553024
2003-08-14,"QLD1",16.1806951207316
2003-08-14,"SA1",22.6253323025663
2003-08-14,"SNOWY1",18.358346550889
2003-08-14,"VIC1",19.6153475040278
2003-08-15,"NSW1",19.2478868739089
2003-08-15,"QLD1",16.7673445918943
2003-08-15,"SA1",23.7861320157696
2003-08-15,"SNOWY1",19.482921125291
2003-08-15,"VIC1",19.7570335288134
2003-08-16,"NSW1",20.1652915485959
2003-08-16,"QLD1",17.9021358222606
2003-08-16,"SA1",21.0176975061728
2003-08-16,"SNOWY1",17.7000391956255
2003-08-16,"VIC1",18.4488037671511
2003-08-17,"NSW1",16.999954833362
2003-08-17,"QLD1",15.0260256813605
2003-08-17,"SA1",18.3635511443878
2003-08-17,"SNOWY1",14.5391638750995
2003-08-17,"VIC1",15.1143487862966
2003-08-18,"NSW1",17.7494757657798
2003-08-18,"QLD1",15.2624069613669
2003-08-18,"SA1",22.3510238972344
2003-08-18,"SNOWY1",16.0648221427141
2003-08-18,"VIC1",18.0273766833139
2003-08-19,"NSW1",21.4533767878165
2003-08-19,"QLD1",16.0914209828911
2003-08-19,"SA1",23.5971650983747
2003-08-19,"SNOWY1",19.0312126559557
2003-08-19,"VIC1",20.8490658128112
2003-08-20,"NSW1",20.6130703538588
2003-08-20,"QLD1",17.5521428241114
2003-08-20,"SA1",25.8782642456695
2003-08-20,"SNOWY1",20.8269168568901
2003-08-20,"VIC1",20.7393754595624
2003-08-21,"NSW1",21.9706816468003
2003-08-21,"QLD1",18.6516057976607
2003-08-21,"SA1",26.9038280229175
2003-08-21,"SNOWY1",21.4655285830171
2003-08-21,"VIC1",22.9137672807424
2003-08-22,"NSW1",18.4420706312198
2003-08-22,"QLD1",16.3021993484515
2003-08-22,"SA1",27.7295842891187
2003-08-22,"SNOWY1",18.2808936998449
2003-08-22,"VIC1",24.2105375101692
2003-08-23,"NSW1",19.9455798570068
2003-08-23,"QLD1",16.3633489349942
2003-08-23,"SA1",24.3576415970249
2003-08-23,"SNOWY1",19.7655997753627
2003-08-23,"VIC1",21.4134464297005
2003-08-24,"NSW1",18.5302396353856
2003-08-24,"QLD1",15.8519120091841
2003-08-24,"SA1",21.6511758608933
2003-08-24,"SNOWY1",18.498457076824
2003-08-24,"VIC1",19.923459722816
2003-08-25,"NSW1",18.547119777174
2003-08-25,"QLD1",15.9731545295
2003-08-25,"SA1",22.8927509594122
2003-08-25,"SNOWY1",19.1104925954733
2003-08-25,"VIC1",21.1526629774988
2003-08-26,"NSW1",19.621381267451
2003-08-26,"QLD1",16.7552732248474
2003-08-26,"SA1",23.9485429336109
2003-08-26,"SNOWY1",20.1714935669924
2003-08-26,"VIC1",22.0640331775455
2003-08-27,"NSW1",20.4290897081565
2003-08-27,"QLD1",17.5095289724537
2003-08-27,"SA1",24.7266271227117
2003-08-27,"SNOWY1",19.3914397190793
2003-08-27,"VIC1",22.5335277860296
2003-08-28,"NSW1",18.5552217747296
2003-08-28,"QLD1",15.7543948693027
2003-08-28,"SA1",22.7734439161774
2003-08-28,"SNOWY1",18.3124216096657
2003-08-28,"VIC1",20.2702981754042
2003-08-29,"NSW1",19.656419790729
2003-08-29,"QLD1",16.8881742885504
2003-08-29,"SA1",23.8369226830523
2003-08-29,"SNOWY1",19.5992339537582
2003-08-29,"VIC1",21.48915922793
2003-08-30,"NSW1",18.1234753525838
2003-08-30,"QLD1",16.2388600224362
2003-08-30,"SA1",20.58750318557
2003-08-30,"SNOWY1",17.5815580567501
2003-08-30,"VIC1",18.5932852083657
2003-08-31,"NSW1",16.9387193378179
2003-08-31,"QLD1",13.7628104336972
2003-08-31,"SA1",18.7588297197652
2003-08-31,"SNOWY1",15.8294598816033
